diagnosisId:ID,icdCode,icdVersion,icdTitle,category,:LABEL
d_4139_9,4139,9,Other and unspecified angina pectoris,Unknown,Diagnosis
d_V707_9,V707,9,Examination of participant in clinical trial,Unknown,Diagnosis
d_41401_9,41401,9,Coronary atherosclerosis of native coronary artery,Unknown,Diagnosis
d_3899_9,3899,9,Unspecified hearing loss,Unknown,Diagnosis
d_V8532_9,V8532,9,"Body Mass Index 32.0-32.9, adult",Unknown,Diagnosis
d_25002_9,25002,9,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",Unknown,Diagnosis
d_71696_9,71696,9,"Arthropathy, unspecified, lower leg",Unknown,Diagnosis
d_V1083_9,V1083,9,Personal history of other malignant neoplasm of skin,Unknown,Diagnosis
d_2724_9,2724,9,Other and unspecified hyperlipidemia,Unknown,Diagnosis
d_V5867_9,V5867,9,Long-term (current) use of insulin,Unknown,Diagnosis
d_27800_9,27800,9,"Obesity, unspecified",Unknown,Diagnosis
d_4829_9,4829,9,"Bacterial pneumonia, unspecified",Unknown,Diagnosis
d_99592_9,99592,9,Severe sepsis,Unknown,Diagnosis
d_2768_9,2768,9,Hypopotassemia,Unknown,Diagnosis
d_0388_9,0388,9,Other specified septicemias,Unknown,Diagnosis
d_78791_9,78791,9,Diarrhea,Unknown,Diagnosis
d_5601_9,5601,9,Paralytic ileus,Unknown,Diagnosis
d_2875_9,2875,9,"Thrombocytopenia, unspecified",Unknown,Diagnosis
d_60001_9,60001,9,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),Unknown,Diagnosis
d_79092_9,79092,9,Abnormal coagulation profile,Unknown,Diagnosis
d_5110_9,5110,9,Pleurisy without mention of effusion or current tuberculosis,Unknown,Diagnosis
d_2859_9,2859,9,"Anemia, unspecified",Unknown,Diagnosis
d_5849_9,5849,9,"Acute kidney failure, unspecified",Unknown,Diagnosis
d_78820_9,78820,9,"Retention of urine, unspecified",Unknown,Diagnosis
d_4240_9,4240,9,Mitral valve disorders,Unknown,Diagnosis
d_V4589_9,V4589,9,Other postprocedural status,Unknown,Diagnosis
d_5121_9,5121,9,Iatrogenic pneumothorax,Unknown,Diagnosis
d_7873_9,7873,9,"Flatulence, eructation, and gas pain",Unknown,Diagnosis
d_99832_9,99832,9,Disruption of external operation (surgical) wound,Unknown,Diagnosis
d_33812_9,33812,9,Acute post-thoracotomy pain,Unknown,Diagnosis
d_E8782_9,E8782,9,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Unknown,Diagnosis
d_V1204_9,V1204,9,Personal history of Methicillin resistant Staphylococcus aureus,Unknown,Diagnosis
d_99859_9,99859,9,Other postoperative infection,Unknown,Diagnosis
d_04112_9,04112,9,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Unknown,Diagnosis
d_E8497_9,E8497,9,Accidents occurring in residential institution,Unknown,Diagnosis
d_5109_9,5109,9,Empyema without mention of fistula,Unknown,Diagnosis
d_51189_9,51189,9,"Other specified forms of effusion, except tuberculous",Unknown,Diagnosis
d_6822_9,6822,9,Cellulitis and abscess of trunk,Unknown,Diagnosis
d_34600_9,34600,9,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",Unknown,Diagnosis
d_V151_9,V151,9,"Personal history of surgery to heart and great vessels, presenting hazards to health",Unknown,Diagnosis
d_29181_9,29181,9,Alcohol withdrawal,Unknown,Diagnosis
d_85221_9,85221,9,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Unknown,Diagnosis
d_53081_9,53081,9,Esophageal reflux,Unknown,Diagnosis
d_E8150_9,E8150,9,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Unknown,Diagnosis
d_2749_9,2749,9,"Gout, unspecified",Unknown,Diagnosis
d_4019_9,4019,9,Unspecified essential hypertension,Unknown,Diagnosis
d_30391_9,30391,9,"Other and unspecified alcohol dependence, continuous",Unknown,Diagnosis
d_E8495_9,E8495,9,Street and highway accidents,Unknown,Diagnosis
d_8054_9,8054,9,Closed fracture of lumbar vertebra without mention of spinal cord injury,Unknown,Diagnosis
d_V168_9,V168,9,Family history of other specified malignant neoplasm,Unknown,Diagnosis
