labTestId:ID,itemId,label,category,unit,:LABEL
lt_50808,50808,Free Calcium,Blood Gas,,LabTest
lt_50826,50826,Tidal Volume,Blood Gas,,LabTest
lt_50813,50813,Lactate,Blood Gas,,LabTest
lt_52029,52029,% Ionized Calcium,Blood Gas,,LabTest
lt_50801,50801,Alveolar-arterial Gradient,Blood Gas,,LabTest
lt_50810,50810,"Hematocrit, Calculated",Blood Gas,,LabTest
lt_52025,52025,Delete,Blood Gas,,LabTest
lt_52031,52031,Osmolality,Blood Gas,,LabTest
lt_52022,52022,"Albumin, Blood",Blood Gas,,LabTest
lt_50806,50806,"Chloride, Whole Blood",Blood Gas,,LabTest
lt_50820,50820,pH,Blood Gas,,LabTest
lt_52028,52028,Hematocrit,Blood Gas,,LabTest
lt_52036,52036,Voided Specimen,Blood Gas,,LabTest
lt_50812,50812,Intubated,Blood Gas,,LabTest
lt_50817,50817,Oxygen Saturation,Blood Gas,,LabTest
lt_52035,52035,Total Calcium,Blood Gas,,LabTest
lt_50823,50823,Required O2,Blood Gas,,LabTest
lt_52024,52024,"Creatinine, Whole Blood",Blood Gas,,LabTest
lt_52037,52037,WB tCO2,Blood Gas,,LabTest
lt_50815,50815,O2 Flow,Blood Gas,,LabTest
lt_52452,52452,"Potassium, Whole Blood",Blood Gas,,LabTest
lt_50804,50804,Calculated Total CO2,Blood Gas,,LabTest
lt_52030,52030,Lithium,Blood Gas,,LabTest
lt_50811,50811,Hemoglobin,Blood Gas,,LabTest
lt_50824,50824,"Sodium, Whole Blood",Blood Gas,,LabTest
lt_52033,52033,Specimen Type,Blood Gas,,LabTest
lt_52027,52027,"Glucose, Whole Blood",Blood Gas,,LabTest
lt_50802,50802,Base Excess,Blood Gas,,LabTest
lt_50814,50814,Methemoglobin,Blood Gas,,LabTest
lt_52034,52034,Total Calcium,Blood Gas,,LabTest
lt_52442,52442,Lactate,Blood Gas,,LabTest
lt_50818,50818,pCO2,Blood Gas,,LabTest
lt_50828,50828,Ventilator,Blood Gas,,LabTest
lt_50809,50809,Glucose,Blood Gas,,LabTest
lt_50821,50821,pO2,Blood Gas,,LabTest
lt_52026,52026,Estimated GFR (MDRD equation),Blood Gas,,LabTest
lt_52434,52434,"Chloride, Whole Blood",Blood Gas,,LabTest
lt_50803,50803,"Calculated Bicarbonate, Whole Blood",Blood Gas,,LabTest
lt_52023,52023,Assist/Control,Blood Gas,,LabTest
lt_50822,50822,"Potassium, Whole Blood",Blood Gas,,LabTest
lt_50827,50827,Ventilation Rate,Blood Gas,,LabTest
